0.000000000000000000e+00,1.753451031842582220e+00
1.000000000000000056e-01,1.696458856529248660e+00
2.000000000000000111e-01,1.733328520600556644e+00
3.000000000000000444e-01,1.825509906900490753e+00
4.000000000000000222e-01,1.890682277917883569e+00
5.000000000000000000e-01,1.952441782895518285e+00
6.000000000000000888e-01,1.970298317784080266e+00
7.000000000000000666e-01,2.016314959412001340e+00
8.000000000000000444e-01,2.019407708213409869e+00
9.000000000000000222e-01,2.068599763532884772e+00
1.000000000000000000e+00,2.013869083873566002e+00
