0.000000000000000000e+00,1.871395167130451176e+00
1.000000000000000056e-01,1.881931791497063022e+00
2.000000000000000111e-01,1.821595153486003094e+00
3.000000000000000444e-01,1.757050910668765509e+00
4.000000000000000222e-01,1.686119364003146215e+00
5.000000000000000000e-01,1.643892216963069419e+00
6.000000000000000888e-01,1.635122461223272650e+00
7.000000000000000666e-01,1.587671714234413223e+00
8.000000000000000444e-01,1.604305873356900003e+00
9.000000000000000222e-01,1.607174913389447068e+00
1.000000000000000000e+00,1.505706471038622096e+00
